,Topic,Feedback Comment,Contextual_Subtopic,Granular_Subtopic,Severity,Sentiment
3378,Feature,"Its  line so as to have its full utilization for huffaaz it may be in landscape mode but should give the picture of  pages side to side because usually hafiz e quran remembers it due to audio and visual memory 
I hope you got my point 
JazakAllah",Quran Reading Features,Quran Reading Features - Landscape Mode for Huffaaz,Low,Neutral
3379,Other,Its Good,General Other,General Other - General Feedback,Low,Positive
3380,Other,Its OK,General Other,General Other - General Issues,Low,Neutral
3381,Other,"Its a Great Application.
Amway's prefer",General Other,General Other - Positive Feedback,Low,Positive
3382,Feature,"Its a much better app.I really got benefit from it.Thanks a lot toball of you.May ALlah give you reward.
We can umprove the app further by
Making an Azaan system according to our set system which is not operating in my mobile through me
And the other imor",Prayer Times & Azan,Prayer Times & Azan - Azaan System Improvement Request,Medium,Positive
3383,Other,Its a very good app for whole muslims.,General Other,General Other - Positive Feedback,Low,Positive
3384,Other,Its a very useful app,General Other,General Other - General Feedback,Low,Positive
3385,Other,Its a wonderful experience. I learned Soo much information from this platform. May Allah tallah give you more achievements.,General Other,General Other - Positive Feedback,Low,Positive
3386,Other,Its all good...,General Other,General Other - General Feedback,Low,Positive
3387,Other,Its amazing and mind-blowing app,General Other,General Other - Positive Feedback,Low,Positive
3388,Other,Its amazing,General Other,General Other - General Praise,Low,Positive
3389,Other,"Its an awesome app ...with easy procedures .
Word by word translation and many more features..just love it 😍",General Other,General Other - Positive Feedback on Features,Low,Positive
3390,Bug,"Its an excellent app for reading a recitation of Quran and hadiths, but there r problems when searching for an ayah according to an arabic word or while searching for a hadith by number, more then  grp of numbers r available.",Search Functionality,Search Functionality - Quran and Hadees Search Issues,Medium,Negative
3391,Other,Its awsm app love this,General Other,General Other - Positive Feedback,Low,Positive
3392,Other,Its behtreen,General Other,General Other - Positive Feedback,Low,Positive
3393,Other,Its best at its place,General Other,General Other - General Feedback,Low,Positive
3394,Other,Its best,General Other,General Other - General Praise,Low,Positive
3395,UI,Its difficult,Navigation Difficulty,Navigation Difficulty - General Issues,Medium,Negative
3396,Ads,Its full of add it is not very useful,Excessive Ads Frequency,Excessive Ads Frequency - Ads Overload Issue,Medium,Negative
3397,Other,Its good app.I found it very useful,General Other,General Other - Positive Feedback,Low,Positive
3398,Feature,Its good but some things in this app is not well like Supplication and guidance related to good thing otherwise its best way to help people 😇😇,General Feature,General Feature - Supplication Guidance Issues,Low,Positive
3399,Feature,Its good but you should add word to word translation  thanks for bringing up this gift to us,Translations & Tafseer,Translations & Tafseer - Word to Word Translation Request,Low,Positive
3400,Other,Its good,General Other,General Other - General Feedback,Low,Positive
3401,Other,Its goods,General Other,General Other - General Feedback,Low,Positive
3402,UI,"Its hard to search in this app, and qibla compas is so confusing.",Navigation Difficulty,Navigation Difficulty - Search and Qibla Compass Confusion,Medium,Negative
3403,Other,Its nice,General Other,General Other - General Issues,Low,Positive
3404,Bug,Its not doing anything because when i search any surah and when I click on surah it is not doing anything and it is not showing any text or not playing😡,Audio Playback Issues,Audio Playback Issues - Quran Surah Playback Failure,Medium,Negative
3405,Bug,Its not working,General Bug,General Bug - General Issues,Medium,Negative
3406,Other,Its pretty good,General Other,General Other - General Feedback,Low,Positive
3407,Other,Its really a blessing to have this app,General Other,General Other - Positive Feedback,Low,Positive
3408,Other,Its really good,General Other,General Other - General Feedback,Low,Positive
3409,Other,Its realy the essence  of life hereafter,General Other,General Other - Life Hereafter Reflection,Low,Positive
3410,Other,Its so amazing,General Other,General Other - General Praise,Low,Positive
3411,Other,Its so good,General Other,General Other - General Feedback,Low,Positive
3412,Other,Its so hood,General Other,General Other - General Issues,Low,Neutral
3413,Other,Its soo good,General Other,General Other - Positive Feedback,Low,Positive
3414,Feature,"Its the most comprehensive app for Muslims. However, to contribute towards all the sects of Islam including Ehl e Tasshaiuu, followings books should also b added:
. Quran Urdu translations & Tafseers of authentic Shia ulmas
. Nahj ul balagah
. Asool e",Translations & Tafseer,Translations & Tafseer - Shia Quran Translations Request,Medium,Positive
3415,Other,Its the need of all ages,General Other,General Other - General Issues,Low,Neutral
3416,Other,Its the need of this age,General Other,General Other - General Issues,Low,Neutral
3417,UI,Its to irritating to scroll down to last sarahs,Navigation Difficulty,Navigation Difficulty - Scrolling Issues with Surahs,Medium,Negative
3418,Bug,Its totally perfect!! But when i stop listening quran and come back i se that i lost the ayah which i was listening.. this is only the problem. Jazakallah khair😄,Audio Playback Issues,Audio Playback Issues - Ayah Loss on Playback Stop,Medium,Positive
3419,Other,Its very good and easy to use,General Other,General Other - Positive Feedback,Low,Positive
3420,Other,Its very good app,General Other,General Other - Positive Feedback,Low,Positive
3421,Other,Its very good service,General Other,General Other - Positive Feedback,Low,Positive
3422,Other,Its very good,General Other,General Other - General Feedback,Low,Positive
3423,Other,Its very helpful,General Other,General Other - General Feedback,Low,Positive
3424,Feature,Its very much good app but if some grammatical features regarding arabic language is also included then it will be best,General Feature,General Feature - Arabic Grammar Improvement Request,Low,Positive
3425,Other,Itssss veryyy very good job ma sha allah,General Other,General Other - Positive Feedback,Low,Positive
3426,Other,"It’s good benefits for everyone for your Quran learning apps. 

Alhamdu’lillah",General Other,General Other - Positive Feedback on Quran Learning,Low,Positive
3427,Other,It’s the no,General Other,General Other - General Issues,Low,Negative
3428,Other,Iyt,General Other,General Other - General Issues,Low,Neutral
3429,Other,I’m,General Other,General Other - General Issues,Low,Neutral
3430,Other,J,General Other,General Other - General Issues,Low,Neutral
3431,Other,JAZAKALLAH bht achi aur asan application hai.ALLAH PAK apko bht taraqi de jis jis ne ye neak kaam main hissa Lia. MASHA ALLAH,General Other,General Other - Positive Feedback,Low,Positive
3432,Other,JAZZAK ALLAH KHAIRA,General Other,General Other - Appreciation Comment,Low,Positive
3433,Other,JB wo airada krta Hy Kis cheese k Baray me to kun frma deta Hy Yani k ho ja to wo ho jata Hy .........,General Other,General Other - User Feedback on App Functionality,Low,Negative
3434,Bug,"Jab Quran play krty hain (only arabic) to bhi har ayat k baad aik ajeeb sa gap aata hai. Translation k sath aisa hona smjh aata hai k har ayat k baad rukna hota hai. 
But just arabic mein jab play kren tab to at least theek trha se chalti rehni chahiye, J",Audio Playback Issues,Audio Playback Issues - Quran Playback Gaps,Medium,Negative
3435,Feature,Jab audio play kertay hian to same ayat say play honi chea by default. Na keh ap ko her dafa setting kerna peray.,Audio Playback Issues,Audio Playback Issues - Default Ayat Playback Setting,Medium,Neutral
3436,Slow,Jab ayat pori hoti ha to Thora sa delay ha sound me aur aor qura ke awaz KO shamil kare,General Slow,General Slow - Audio Delay in Quran Recitation,Medium,Neutral
3437,Bug,"Jab kholtay h quran pak to ruku agay pichay ho jata hai,dusa yeh k sura me sirf sirf surah ka ruku diya kren or paray me paay ka",Text/Font Errors,Text/Font Errors - Quran Ruku Display Issue,Medium,Negative
3438,Bug,Jab ma koi parah kholti hun tou wo specific parah nhi khulta balkay Quran start Sy khul jata,General Bug,General Bug - Quran Opening Issue,Medium,Negative
3439,UI,Jab main Namaz Ada kar lati hon tuo main mark karti hon lakin Isha ki Namaz ko mark karny ka baad bhi lagta ha jasy mark nahi kia kuo ka colour Bohat dark ha ic liy mark ka pata nahi chalta I hope you understand what I’m exactly saying. Or Baki sub kuch,Visual Design,Visual Design - Dark Color Marking Issues,Medium,Negative
3440,Feature,Jab me quran prho or galti karo to ye app samjhae,Quran Reading Features,Quran Reading Features - Quran Error Explanation Request,Medium,Neutral
3441,Feature,Jaha sy quran parna chordyn up page sy hi restat ka option ho without book mark,Quran Reading Features,Quran Reading Features - Restart Option Request,Low,Neutral
3442,Feature,Jahan tak ham padhte hai next time padhne ke liya rukuh yaad Karna padta hai aur agar bhul gaye to fir dubara padhna hoga isliye ham jaha ruktey hai next time wahi se padhne ke liye use page ko save kar de ya fir wahi chod de jisse hame padhne me aashani,Quran Reading Features,Quran Reading Features - Bookmarking Current Page,Low,Neutral
3443,Other,Jahangir Khan,General Other,General Other - User Name Mention,Low,Neutral
3444,Bug,Jahn Kal parha tha wahn pr koi nishani ni hai.behtr ho jahan Sy Kal stop kro phr wahein Sy quranpak khuly,General Bug,General Bug - Quran Access Issues,Medium,Negative
3445,Other,"Jaiehhe
Uaiehge
Iehriee
Jekrvrvr",General Other,General Other - General Issues,Low,Neutral
3446,Other,Jajakalahera,General Other,General Other - General Feedback,Low,Positive
3447,Other,Jajakallah Khair,General Other,General Other - General Appreciation,Low,Positive
3448,Feature,Jalandhri Sahib ka audio translation add karain.,Translations & Tafseer,Translations & Tafseer - Audio Translation Request,Low,Neutral
3449,Other,Jali,General Other,General Other - General Issues,Low,Neutral
3450,Other,Jameen,General Other,General Other - General Issues,Low,Neutral
3451,Other,Jamil,General Other,General Other - General Issues,Low,Neutral
3452,Other,Jawadawan,General Other,General Other - General Issues,Low,Neutral
3453,Other,Jazacumula khair,General Other,General Other - Appreciation Comment,Low,Positive
3454,Ads,Jazak Allah Khair.. keep observing the ads like girls image are there ads must be suitable for this app.,Non-Islamic / Inappropriate Ads,Non-Islamic / Inappropriate Ads - Inappropriate Ad Content,Medium,Negative
3455,Other,Jazak Allah Khair,General Other,General Other - General Appreciation,Low,Positive
3456,Other,Jazak Allah,General Other,General Other - General Appreciation,Low,Positive
3457,Other,Jazak'Allahu khairan kaseera,General Other,General Other - Appreciation Comment,Low,Positive
3458,Other,JazakAllah Kher,General Other,General Other - General Appreciation,Low,Positive
3459,Other,JazakAllah Quran ko para or samajna boat easy ho giant ha,General Other,General Other - Quran Understanding Feedback,Low,Positive
3460,Other,JazakAllah best application,General Other,General Other - Positive Feedback,Low,Positive
3461,Other,JazakAllah very informative,General Other,General Other - Positive Feedback,Low,Positive
3462,Other,JazakAllah,General Other,General Other - General Appreciation,Low,Positive
3463,Other,Jazaka mullahu khair,General Other,General Other - Appreciation Comment,Low,Positive
3464,Other,JazakaAllah,General Other,General Other - Appreciation Comment,Low,Positive
3465,Other,Jazakal Allah,General Other,General Other - General Appreciation,Low,Positive
3466,Feature,Jazakallah great job may Allah reward you and your parents please improve Search portal should be little more advance,Search Functionality,Search Functionality - Advanced Search Feature Request,Low,Positive
3467,Other,Jazakallah khair,General Other,General Other - General Appreciation,Low,Positive
3468,Accuracy,Jazakallah lakin tarjuma abhi mukhtalif kar diya h,General Accuracy,General Accuracy - Translation Discrepancy,Medium,Negative
3469,Feature,"Jazakallah. You are doing great work Mashallah. Just a little bit effort. You should add this in search bar 
To open any ayyat through this 
[:] it will help a lot instead of going through the whole surah yo reach the specific ayat. 
Thanx",Search Functionality,Search Functionality - Specific Ayat Search Feature,Low,Positive
3470,Other,Jazakallah,General Other,General Other - General Appreciation,Low,Positive
3471,Other,Jazakallahu Khair for this App,General Other,General Other - Positive Feedback,Low,Positive
3472,Other,Jazakallahu khair,General Other,General Other - General Appreciation,Low,Positive
3473,Other,Jazakilla Dunia main iska ajar koi NAHI dy sakta,General Other,General Other - Ajar in Dunia,Low,Positive
3474,Other,Jazakllah,General Other,General Other - General Appreciation,Low,Positive
3475,Other,Jazakum Allah khaira,General Other,General Other - General Appreciation,Low,Positive
3476,Other,Jazakumullha,General Other,General Other - General Appreciation,Low,Positive
3477,Other,Jazaq allah.Very isefull.,General Other,General Other - Positive Feedback,Low,Positive
3478,Feature,Jb Japan sy parna ho wahan sy hi search m ja k mil jaye .na k nishani dekhny k liye us ayet ko nikalna parta hai,Search Functionality,Search Functionality - Quran Search Navigation Issues,Medium,Negative
3479,Feature,Jb ham ayat recite kren agr uss me koi word ghalt hai tou sirf wahi red ho baki ayat agr sahi hai tou green ho jaye jb puri ayat red hoti hai tou pta nhi chalta kahan mistake hoi hai,Quran Reading Features,Quran Reading Features - Ayat Error Highlighting,Medium,Neutral
3480,Other,Jgjgi,General Other,General Other - General Issues,Low,Neutral
3481,Bug,Jha chra taha wapis NHI ja RHA,General Bug,General Bug - App Not Responding,Medium,Negative
3482,Accuracy,"Jin ki rah par in surah fatiha.. 
Jin means which people not jinn as in djinn. 
When we click on jin in sura fatiha it takes to meaning of jinn which is misleading",General Accuracy,General Accuracy - Misleading Translation of Quran Terms,High,Negative
3483,Feature,Jis Tarah aap logon ke hadis mein yah option hai ke sirf aayat ky tarjuma ko bhi play kar sakte hain is tarike se Quran ke andar bhi yah option hona chahie tarjuma aur tafseer ko sunane ke liye,Translations & Tafseer,Translations & Tafseer - Quran Translation Audio Feature Request,Low,Neutral
3484,Other,"Jitni taarif ki jaaye voh kamm h,",General Other,General Other - Positive Feedback,Low,Positive
3485,Other,Jj,General Other,General Other - General Issues,Low,Neutral
3486,Other,Jjjj,General Other,General Other - General Issues,Low,Neutral
3487,Feature,"Jo Urdu translation Yani tarjma hai is ki 
 tafssr be bayan kary",Translations & Tafseer,Translations & Tafseer - Urdu Translation Request,Low,Neutral
3488,Bug,Jo b surat favourites kro wo jb b open kro to bjaye k us surat se start ho Quran pak shuru se shuru hojata ha is se bhtr google se wo surat search kr j parh len,General Bug,General Bug - Quran Favourites Opening Issue,Medium,Negative
3489,Feature,Jo prhy ni hn inkyliye or asan kryn,General Feature,General Feature - Ease of Use Improvement,Low,Neutral
3490,Other,Ju,General Other,General Other - General Issues,Low,Neutral
3491,Feature,Jump ayah feature isn't available,General Feature,General Feature - Missing Ayah Jump Feature,Low,Neutral
3492,Feature,"Jump to ayah number is absent please add that in next update .
If we want to go to specific ayah in surah say al baqarah  then we have to scroll down that whole surah 
Jazakallah khair",Quran Reading Features,Quran Reading Features - Missing Ayah Jump Feature,Low,Neutral
3493,Feature,Jump to ayat number option must be available,Quran Reading Features,Quran Reading Features - Missing Ayat Jump Option,Low,Neutral
3494,Feature,Jumping to a specific verse facility,Quran Reading Features,Quran Reading Features - Jump to Specific Verse,Low,Neutral
3495,Feature,Just a question I want u to add down like a button where it says we go into sujud.,Quran Reading Features,Quran Reading Features - Sujud Button Request,Low,Neutral
3496,Feature,"Just as you have given the option of hadees no in hadees 
So plz also give the option of ayat no in quran because there are many long surahs like surah baqarah and ale imran so we have to scroll alot to go to a specific ayat so plz give this feature in qu",Quran Reading Features,Quran Reading Features - Ayat Number Navigation Request,Low,Neutral
3497,Ads,Just because adds are too much that's why am rating it with  star!🙌,Excessive Ads Frequency,Excessive Ads Frequency - Ads Overload Issue,Medium,Negative
3498,Other,Just don't make it pro I me very poor,General Other,General Other - General Issues,Low,Negative
3499,Bug,Just give an option to correct coding typos that occurs,Text/Font Errors,Text/Font Errors - Coding Typos Correction Request,Medium,Neutral
3500,Feature,Just give becoz jub ap dobara quran ko kholo to wo start sy open hota jha sy choro udr dy nihota one suggestion is physical quran ma ek dori hoti hy as a nishani k jha sy chora udr sy dobara srt kry ta k  dy dtart na kry add feature like this or somethin,Quran Reading Features,Quran Reading Features - Resume Reading Position,Low,Neutral
3501,Feature,Just improve,General Feature,General Feature - General Issues,Low,Neutral
3502,UI,Just increase font size,Visual Design,Visual Design - Font Size Adjustment Request,Low,Neutral
3503,Feature,Just like Quran tafseer we need hadees explanation and there are some words for unverified content on this app please do something about it especially about thing people saying hadees are changed or unauthorized etc other than this app is excellent,Translations & Tafseer,Translations & Tafseer - Hadees Explanation Request,Medium,Neutral
3504,Ads,Just many ads otherwise the best app,Excessive Ads Frequency,Excessive Ads Frequency - General Ads Complaints,Medium,Negative
3505,Feature,"Just one suggestion, that there should be an option to read the tafseer, rather than hear it and there should be an english option.",Translations & Tafseer,Translations & Tafseer - Tafseer Reading Option Request,Low,Neutral
3506,Other,Just start,General Other,General Other - General Issues,Low,Neutral
3507,Ads,Just try not to give ads which include pictures of females,Non-Islamic / Inappropriate Ads,Non-Islamic / Inappropriate Ads - Female Image Concerns,Medium,Negative
3508,Other,Jzak Allah khair,General Other,General Other - General Appreciation,Low,Positive
3509,Other,KJshs,General Other,General Other - General Issues,Low,Neutral
3510,Bug,Kabi kabiadam say hath lagy to new sapara nikal ata ha to phala sabaq gum ho jata ha bas jaha say hum par rahy houin wo dundana asan ho,Search Functionality,Search Functionality - Hadees Search Issues,Medium,Negative
3511,Other,Kaeda,General Other,General Other - General Issues,Low,Neutral
3512,Slow,Kalam pak thoda jaldi jaldi padh rhe hain agar thoda speed Kam rakh kar padha jai to naye padhne walon ko kuch zyada ache se padh sakte. hain,General Slow,General Slow - Hadees Reading Speed Issues,Medium,Neutral
3513,Other,Kasim,General Other,General Other - General Issues,Low,Neutral
3514,Other,Kee it up,General Other,General Other - General Feedback,Low,Positive
3515,Other,Keep doing better,General Other,General Other - General Feedback,Low,Positive
3516,Other,Keep doing the good work,General Other,General Other - Positive Feedback,Low,Positive
3517,Other,Keep focused on Ahle Sunnah wal Jamaat and not sects,General Other,General Other - Focus on Ahle Sunnah wal Jamaat,Low,Neutral
3518,UI,Keep font size little big,Visual Design,Visual Design - Font Size Adjustment Request,Low,Neutral
3519,Other,Keep going,General Other,General Other - General Feedback,Low,Positive
3520,Feature,Keep history record page for visitor/user.,General Feature,General Feature - User History Record Request,Low,Neutral
3521,Other,Keep improving ☺️ JazakAllah,General Other,General Other - General Feedback,Low,Positive
3522,Other,Keep it up Great work,General Other,General Other - Positive Feedback,Low,Positive
3523,Other,Keep it up mashallah good work,General Other,General Other - Positive Feedback,Low,Positive
3524,Other,Keep it up.     one of best app.       But there is always space for improvement,General Other,General Other - Positive Feedback with Improvement Suggestion,Low,Positive
3525,Other,Keep it up....,General Other,General Other - General Feedback,Low,Positive
3526,Other,Keep it up,General Other,General Other - General Feedback,Low,Positive
3527,Other,Keep it,General Other,General Other - General Issues,Low,Neutral
3528,Ads,Keep minimum adds,Excessive Ads Frequency,Excessive Ads Frequency - Minimum Ads Request,Medium,Neutral
3529,Bug,"Keep notes have some issues 
It didn't save the notes",General Bug,General Bug - Notes Saving Issues,Medium,Negative
3530,Bug,Keep notes is not saving notes,General Bug,General Bug - Notes Saving Issue,Medium,Negative
3531,Bug,Keep the quran recitation audio on even after closing the screen of phone. The quran recitation sometime hangs in the middle.,Audio Playback Issues,Audio Playback Issues - Quran Recitation Playback Problems,Medium,Negative
3532,Feature,Keep the settings as to see where I have left reading....,Quran Reading Features,Quran Reading Features - Reading Progress Tracking,Low,Neutral
3533,Other,Keep up the good work. JazakaAllah ul khair,General Other,General Other - Positive Feedback,Low,Positive
3534,Other,Keep up the good work,General Other,General Other - Positive Feedback,Low,Positive
3535,Feature,Keep your donation type more easy and user friendly.. in quran section one should have the liberty to acsend or decend the translation source like ۔جو نہ گڑی تکی عثمانی اور کنزلیمان۔,Translations & Tafseer,Translations & Tafseer - Translation Source Flexibility,Low,Neutral
3536,Feature,Keeping a curser to scroll up and down,Quran Reading Features,Quran Reading Features - Cursor Scrolling Request,Low,Neutral
3537,Other,Khadim,General Other,General Other - General Issues,Low,Neutral
3538,Other,Ki,General Other,General Other - General Issues,Low,Neutral
3539,Feature,"Kindly  add  ayat search  and  camera scan  to  find ayat bcz we  confirm  from  islam  as  today  we can not  trust  social media sharing 
Jazak ALLAH",Quran Reading Features,Quran Reading Features - Ayat Search and Camera Scan Request,Medium,Positive
3540,Feature,Kindly Provide the tafseer in tarjuma by point on same page with a link,Translations & Tafseer,Translations & Tafseer - Tafseer with Translation Request,Low,Neutral
3541,Feature,Kindly add Arabic dictionary and tafseer by Dr Nauman Ali Khan in Urdu language,Translations & Tafseer,Translations & Tafseer - Arabic Dictionary and Tafseer Request,Low,Neutral
3542,Feature,Kindly add Quran memorisation feature with voice speaker so that when a person who memorise some ayats and repeat it then it can identify mistakes and alert that a mistake has been committed while reading like any teacher,Quran Reading Features,Quran Reading Features - Quran Memorisation with Voice Feedback,Low,Neutral
3543,Feature,Kindly add Recitation of more Qaris,Quran Reading Features,Quran Reading Features - Additional Qari Recitation Request,Low,Neutral
3544,Feature,Kindly add Tamil language,Translations & Tafseer,Translations & Tafseer - Tamil Translation Request,Low,Neutral
3545,Feature,Kindly add a feature where we can resume reading quran the page we left it..,Quran Reading Features,Quran Reading Features - Resume Reading Feature Request,Low,Neutral
3546,Feature,Kindly add an easy feature to reach a certain Ayah in a Surah.,Quran Reading Features,Quran Reading Features - Ayah Navigation Request,Low,Neutral
3547,Feature,Kindly add landscape mode also to read quran,Quran Reading Features,Quran Reading Features - Landscape Mode Request,Low,Neutral
3548,Feature,Kindly add scroll on quran parahs,Quran Reading Features,Quran Reading Features - Scroll Functionality Request,Low,Neutral
3549,UI,"Kindly add some colour in arabic ,like lite green ,like light orange ,",Visual Design,Visual Design - UI Color Enhancement Request,Low,Neutral
3550,Feature,Kindly add some translation voices please.,Translations & Tafseer,Translations & Tafseer - Translation Voice Feature Request,Low,Neutral
3551,Feature,Kindly add the date in the application .,General Feature,General Feature - Date Display Request,Low,Neutral
3552,Feature,Kindly add the meaning of each word underneath the Arabic word. Separate those words by boxes so that we can get to know that what exactly a specific Arabic word has specific translation in Urdu or English.,Translations & Tafseer,Translations & Tafseer - Word Meaning Display Request,Low,Neutral
3553,Feature,Kindly add the tafseer by molana Tariq Jameel sb,Translations & Tafseer,Translations & Tafseer - Tafseer Addition Request,Low,Neutral
3554,Feature,Kindly add word namaz in word search in urdu,General Feature,General Feature - Urdu Word Search Request,Low,Neutral
3555,Feature,"Kindly audio ma speed ka button nhi smjh arha , ager hai tu guide krain , nhi tu please add krain ... JazakAllah khair",General Feature,General Feature - Audio Speed Adjustment Request,Low,Neutral
3556,Accuracy,Kindly check the translation.,General Accuracy,General Accuracy - Translation Verification Request,Medium,Neutral
3557,Feature,Kindly correct the grammatical mistakes in translation provided by Allama Hassan Rizvi. And Also add the feature to export bookmark ayats in excel or other formats.,Translations & Tafseer,Translations & Tafseer - Translation Correction Request,Low,Neutral
3558,Feature,Kindly highlight the ayat of starting of new subarah on  line of quran recitation. Also allow to view tafseer of aya from detail view on  line of Quran recitation.,Quran Reading Features,Quran Reading Features - Highlight Ayat and Tafseer Access,Low,Neutral
3559,Feature,Kindly improve the audio for supplications as they are not audible.,General Feature,General Feature - Audio Quality Improvement for Supplications,Medium,Neutral
3560,Bug,Kindly improve the recitation audio quality I find a distortion whenever I play the audio.thanks,Audio Playback Issues,Audio Playback Issues - Recitation Audio Quality,Medium,Negative
3561,Feature,Kindly include side bar to put down or up long surat,Quran Reading Features,Quran Reading Features - Sidebar for Long Surahs,Low,Neutral
3562,Feature,"Kindly include tajweedi coloured Quran as well and the Quran translation voice is not soothing,like the one we are hearing since childhood,I don't know the name of the reader,Kindly include that one.JazakAllah Khairun for this great app,many new features",Quran Reading Features,Quran Reading Features - Tajweed and Audio Translation Request,Low,Positive
3563,Feature,Kindly include tajweedi coloured Quran as well,Quran Reading Features,Quran Reading Features - Tajweed Colored Quran Request,Low,Neutral
3564,Feature,"Kindly include word by word translation for better extraction if benefits, if possible.
جَزَاک اللّٰهُ خَيْرًا كَثِيْرًا",Translations & Tafseer,Translations & Tafseer - Word by Word Translation Request,Low,Neutral
3565,Feature,Kindly launche quran with tajweed,Quran Reading Features,Quran Reading Features - Tajweed Implementation Request,Low,Neutral
3566,Feature,Kindly make a jump up button to get exactly on the desired surah n desired ayah,Quran Reading Features,Quran Reading Features - Jump to Surah and Ayah Request,Low,Neutral
3567,UI,Kindly make the inemterface simple and more informative,Visual Design,Visual Design - UI Simplicity and Information,Low,Neutral
3568,Feature,Kindly make the layout like real quran page with translation,Quran Reading Features,Quran Reading Features - Quran Page Layout Request,Low,Neutral
3569,Feature,Kindly mention name of the sura in english,General Feature,General Feature - English Sura Name Request,Low,Neutral
3570,Feature,Kindly playlist option add kren surahs k lye taky kbi different surahs parhni hon to bar bar change na krna pary playlist mn add kren or sari added surahs play hoti jaen khid,Quran Reading Features,Quran Reading Features - Surah Playlist Request,Low,Neutral
3571,Feature,"Kindly please also add a quran with Translation,i know that the app already has a quran with Translation of ayah by ayah,by i would also like to see the quran of line by line translation like we usely have in our home,thanks",Translations & Tafseer,Translations & Tafseer - Line by Line Quran Translation Request,Low,Neutral
3572,Feature,Kindly provide the tafseer in Urdu for all the sura by some prominent islamic scoller,Translations & Tafseer,Translations & Tafseer - Urdu Tafseer Request,Low,Neutral
3573,Feature,Kindly put islamic date which is deleted as it was before. Thanks,General Feature,General Feature - Islamic Date Restoration Request,Low,Neutral
3574,Feature,Kindly relate with taj company tarjuma,Translations & Tafseer,Translations & Tafseer - Translation Collaboration Request,Low,Neutral
3575,Accuracy,Kindly rethink about hadith's health,General Accuracy,General Accuracy - Hadees Health Evaluation,High,Neutral
3576,Ads,Kindly skip adds,General Ads,General Ads - Skip Ads Request,Medium,Neutral
3577,Slow,Kindly slow down the speed of audio of the Urdu translation (Tarjuma only ).It becomes very difficult to absorb the knowledge if you listen only to Urdu tarjuma,General Slow,General Slow - Urdu Translation Audio Speed,Medium,Negative
3578,Feature,Kindly supplication in urdu upload,General Feature,General Feature - Urdu Supplication Upload Request,Low,Neutral
3579,Accuracy,"Kindly take a look again or match it with Quran pak I think there are some zabr zair mistakes.
Other that this app is very good 
Thank you",General Accuracy,General Accuracy - Quranic Text Accuracy Issues,Medium,Positive
3580,Feature,Kindly teach me Quran for formation,Quran Reading Features,Quran Reading Features - Quran Learning Request,Low,Neutral
3581,Ads,Kindly tey to give ads which don't contain a picture of any female because we are reading Quran Majeed according to commandment of Allah and seeing a female is sin. Only give ads without any picture of female. Rest is best as known by me.,Non-Islamic / Inappropriate Ads,Non-Islamic / Inappropriate Ads - Female Image Concerns,Medium,Negative
3582,Feature,Kindly update n add quran with tajweed colours,Quran Reading Features,Quran Reading Features - Tajweed Color Addition Request,Low,Neutral
3583,Feature,Kindly upload any video how to search some particular topics from the Quran. Please,General Feature,General Feature - Video Tutorial Request for Quran Search,Low,Neutral
3584,Feature,Kindly upload tafseer of every ayat,Translations & Tafseer,Translations & Tafseer - Tafseer for Every Ayat Request,Low,Neutral
3585,Feature,"Kindly, add Abdul Rahman al-Ossi and Egzon Ibrahimi !",General Feature,General Feature - Add New Scholars,Low,Neutral
3586,Feature,"Kindly, add Abdul Rahman al-Ossi and Egzon Ibrahimi also among other Reciters",General Feature,Quran Reading Features - Reciter Addition Request,Low,Neutral
3587,Feature,"Kindly, add Abdul Rahman al-Ossi and Egzon Ibrahimi",General Feature,General Feature - Add New Scholars,Low,Neutral
3588,Feature,"Kindly, add Shan e Nazool of surahs and ayats. Jazak Allah Khair, by the way, amazing work you have done. You have made your akhirah after this great work",General Feature,General Feature - Shan e Nazool Request,Low,Positive
3589,Other,Knowledgeable And Admirable Masha Allah ❤️,General Other,General Other - Positive Feedback,Low,Positive
3590,Other,Knowledgeable,General Other,General Other - General Feedback,Low,Positive
3591,Other,Knvuruyg ngsepjy,General Other,General Other - General Issues,Low,Neutral
3592,Feature,Koi tareeqa hona cheye jis say app foran appnay last book mark tak pounch sakain.,Quran Reading Features,Quran Reading Features - Quick Access to Last Bookmark,Low,Neutral
3593,Feature,Ksi bhi soorah ko ksi bhijagah say suna ja sakay.,Quran Reading Features,Quran Reading Features - Audio Playback Request,Low,Neutral
3594,Feature,"Kuch easy access gona chahiye direct ayat pe Jane kliye,",Quran Reading Features,Quran Reading Features - Easy Access to Ayat,Low,Neutral
3595,Feature,Kuch or bhe behtry lai ja sakti hy,General Feature,General Feature - Suggestions for Improvement,Low,Neutral
3596,Other,Kul yaseen,General Other,General Other - General Issues,Low,Neutral
3597,Other,Kul,General Other,General Other - General Issues,Low,Neutral
3598,Feature,Kunzul imman Ala hazrat and Dr israr Ahmed Quran Tafseer,Translations & Tafseer,Translations & Tafseer - Tafseer Request for Specific Scholars,Low,Neutral
3599,Feature,Kuran ki tilawat ho gai baithe baithe,General Feature,General Feature - Quran Recitation Request,Low,Positive
3600,Other,Kuran,General Other,General Other - Quran Mention,Low,Neutral
3601,Feature,Kya kisi bhi aayat per direct Jane ki facility hai,General Feature,General Feature - Direct Access to Ayat,Low,Neutral
